DeviceIDAnon,DeviceName,Location,DateTime,Type
43:C5:03:2A:XX:XX,null,"39.629623,-77.7640783",1702594423,No Identifier - Unknown Manufacturer
77:55:77:12:XX:XX,null,"39.629623,-77.7640783",1702594423,No Identifier - Unknown Manufacturer
EC:47:F1:94:XX:XX,null,"39.629623,-77.7640783",1702594423,No Identifier - Unknown Manufacturer
5C:8B:B1:53:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
7A:E5:F5:B4:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
E2:2B:86:A6:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
72:12:70:E6:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
C8:9E:0E:8E:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
46:1C:E0:F6:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
D9:4F:8B:E6:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
5E:73:61:EF:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
72:27:C1:19:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
67:21:E5:80:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
53:DE:A8:B9:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
F9:9C:7D:F3:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
7A:83:2C:65:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
F3:C0:5A:C0:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
C4:87:2E:7D:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
6A:9F:85:B4:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
7D:23:F6:26:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
5A:CE:80:87:XX:XX,null,"39.6275645,-77.7665361",1702594485,No Identifier - Unknown Manufacturer
46:1C:E0:F6:XX:XX,null,"39.6275645,-77.7665361",1702594538,No Identifier - Unknown Manufacturer
5C:8B:B1:53:XX:XX,null,"39.6275645,-77.7665361",1702594538,No Identifier - Unknown Manufacturer
