DeviceId,DeviceName,Location,DateTime
3A:1A:52:ED:FD:68,ET-4800 Series,"39.50653824681405, -77.65215729669374",1702509138
70:0F:CB:B4:17:36,null,"39.50653824681405, -77.65215729669374",1702509138
52:73:E8:28:57:75,null,"39.50653824681405, -77.65215729669374",1702509138
CB:C1:F2:23:C0:C1,null,"39.50653824681405, -77.65215729669374",1702509138
67:00:36:01:A5:BE,null,"39.50653824681405, -77.65215729669374",1702509138
74:ED:CC:34:B1:62,null,"39.50653824681405, -77.65215729669374",1702509577
2E:EA:8A:6B:9D:B8,null,"39.50653824681405, -77.65215729669374",1702509577
54:A8:42:07:DB:6B,null,"39.50653824681405, -77.65215729669374",1702509577
3A:1A:52:ED:FD:68,ET-4800 Series,"39.50653824681405, -77.65215729669374",1702509577
56:10:05:89:9D:4F,null,"39.50653824681405, -77.65215729669374",1702510375
3A:1A:52:ED:FD:68,ET-4800 Series,"39.50653824681405, -77.65215729669374",1702510375
5B:4D:3C:56:53:E2,null,"39.50653824681405, -77.65215729669374",1702510375
2C:29:10:59:29:A5,null,"39.50653824681405, -77.65215729669374",1702510375
2C:29:10:59:29:A5,null,"39.50653824681405, -77.65215729669374",1702510922
5B:4D:3C:56:53:E2,null,"39.50653824681405, -77.65215729669374",1702510922
71:C7:AA:C3:86:0A,null,"39.50653824681405, -77.65215729669374",1702510922
3A:1A:52:ED:FD:68,ET-4800 Series,"39.50653824681405, -77.65215729669374",1702510922
F4:FA:9A:D7:5C:E3,null,"39.50653824681405, -77.65215729669374",1702510922
5B:4D:3C:56:53:E2,null,"39.50653824681405, -77.65215729669374",1702510968
57:F1:D3:17:93:8A,null,"39.50653824681405, -77.65215729669374",1702510968
71:C7:AA:C3:86:0A,null,"39.50653824681405, -77.65215729669374",1702510968
3A:1A:52:ED:FD:68,ET-4800 Series,"39.50653824681405, -77.65215729669374",1702510968
F5:FD:92:F6:72:4F,null,"39.50653824681405, -77.65215729669374",1702510968
E0:67:33:0B:18:80,null,"39.50653824681405, -77.65215729669374",1702510968
67:60:5C:68:6D:33,null,"39.50653824681405, -77.65215729669374",1702510968
52:A3:16:98:E2:E5,null,"39.50653824681405, -77.65215729669374",1702510968
F4:FA:9A:D7:5C:E3,null,"39.50653824681405, -77.65215729669374",1702510968
71:C7:AA:C3:86:0A,null,"39.50653824681405, -77.65215729669374",1702511014
57:F1:D3:17:93:8A,null,"39.50653824681405, -77.65215729669374",1702511014
3A:1A:52:ED:FD:68,ET-4800 Series,"39.50653824681405, -77.65215729669374",1702511014
5B:4D:3C:56:53:E2,null,"39.50653824681405, -77.65215729669374",1702511014
F5:FD:92:F6:72:4F,null,"39.50653824681405, -77.65215729669374",1702511014
3A:1A:52:ED:FD:68,ET-4800 Series,"39.50653824681405, -77.65215729669374",1702511057
71:C7:AA:C3:86:0A,null,"39.50653824681405, -77.65215729669374",1702511057
57:F1:D3:17:93:8A,null,"39.50653824681405, -77.65215729669374",1702511057
5B:4D:3C:56:53:E2,null,"39.50653824681405, -77.65215729669374",1702511057
F5:FD:92:F6:72:4F,null,"39.50653824681405, -77.65215729669374",1702511057
51:CA:9E:4B:FF:3B,null,"39.50653824681405, -77.65215729669374",1702511703
4D:7B:9A:8C:A6:72,null,"39.50653824681405, -77.65215729669374",1702511703
5E:C2:65:93:51:77,null,"39.50653824681405, -77.65215729669374",1702511703
EE:4C:CA:7A:28:26,null,"39.50653824681405, -77.65215729669374",1702511703
CD:8D:F3:2B:1D:D8,null,"39.50653824681405, -77.65215729669374",1702511703
5E:C2:65:93:51:77,null,"39.50653824681405, -77.65215729669374",1702511751
4D:7B:9A:8C:A6:72,null,"39.50653824681405, -77.65215729669374",1702511751
51:CA:9E:4B:FF:3B,null,"39.50653824681405, -77.65215729669374",1702511751
EE:4C:CA:7A:28:26,null,"39.50653824681405, -77.65215729669374",1702511751
4D:7B:9A:8C:A6:72,null,"39.50653824681405, -77.65215729669374",1702511793
5E:C2:65:93:51:77,null,"39.50653824681405, -77.65215729669374",1702511793
51:CA:9E:4B:FF:3B,null,"39.50653824681405, -77.65215729669374",1702511793
3A:1A:52:ED:FD:68,ET-4800 Series,"39.50653824681405, -77.65215729669374",1702511793
4E:A9:CF:9A:94:E2,null,"39.50653824681405, -77.65215729669374",1702532818
2B:68:CC:30:39:90,null,"39.50653824681405, -77.65215729669374",1702532818
58:91:7D:74:61:77,null,"39.50653824681405, -77.65215729669374",1702532818
3A:1A:52:ED:FD:68,ET-4800 Series,"39.50653824681405, -77.65215729669374",1702532818
