MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,RCOIs,MfgrId,Type
ee:55:b8:24:30:04,notes,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:39,52,5260,-81,,,WIFI
00:54:af:cb:96:be,Hotspot96BE,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2026-01-21 02:16:39,4,2427,-83,,,WIFI
e0:46:ee:19:c8:80,NETGEAR58-5G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],2026-01-21 02:16:39,153,5765,-85,,,WIFI
ea:55:b8:24:30:04,sip,[WPA2-EAP/SHA1-CCMP+TKIP][RSN-EAP/SHA1-CCMP+TKIP][WPA-EAP/SHA1-CCMP+TKIP][ESS],2026-01-21 02:16:39,52,5260,-81,,,WIFI
e6:55:b8:24:30:04,Starbucks WiFi,[ESS],2026-01-21 02:16:39,52,5260,-81,,,WIFI
e6:55:b8:53:b4:4e,WIRELESS-4,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2026-01-21 02:16:39,44,5220,-82,,,WIFI
ee:55:a8:53:b4:4e,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:39,1,2412,-73,,,WIFI
da:55:a8:53:b4:4e,,[WPA2-PSK+PSK-SHA256-None+CCMP][RSN-PSK+PSK-SHA256-None+CCMP][ESS],2026-01-21 02:16:39,1,2412,-73,,,WIFI
310260_20436_13300233,T-Mobile USA,LTE;310260,2026-01-21 02:16:39,1000,1000,-102,,,LTE
e4:55:a8:53:b4:4e,,Uncategorized;10,2026-01-21 02:16:41,,7936,-81,,,BLE
73:2a:47:8b:0c:00,,Uncategorized;10,2026-01-21 02:16:44,,7936,-89,,,BLE
e0:46:ee:9f:87:67,FGBOH(new),[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:44,149,5745,-82,,,WIFI
ca:61:cf:0d:fe:46,AndroidShare_5343,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],2026-01-21 02:16:44,36,5180,-93,,,WIFI
e0:46:ee:9f:87:68,PARPOS,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:44,149,5745,-82,,,WIFI
e6:cb:ac:91:e4:ad,smll,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2026-01-21 02:16:44,36,5180,-88,,,WIFI
ee:55:b8:53:b4:4e,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:44,44,5220,-78,,,WIFI
8e:18:88:c1:65:c7,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:44,11,2462,-89,,,WIFI
96:18:88:c1:65:c7,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:44,11,2462,-89,,,WIFI
da:55:b8:53:b4:4e,,[WPA2-PSK+PSK-SHA256-None+CCMP][RSN-PSK+PSK-SHA256-None+CCMP][ESS],2026-01-21 02:16:44,44,5220,-78,,,WIFI
58:32:77:b9:bc:63,Verizon-RC400L-63,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2026-01-21 02:16:44,36,5180,-89,,,WIFI
ea:cb:ac:91:e4:ad,notes,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:44,36,5180,-88,,,WIFI
ee:cb:ac:91:e4:ad,sip,[WPA2-EAP/SHA1-CCMP+TKIP][RSN-EAP/SHA1-CCMP+TKIP][WPA-EAP/SHA1-CCMP+TKIP][ESS],2026-01-21 02:16:44,36,5180,-88,,,WIFI
e2:cb:ac:91:e4:ad,Starbucks WiFi,[ESS],2026-01-21 02:16:44,36,5180,-88,,,WIFI
bc:a5:11:d9:46:1c,NETGEAR40,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2026-01-21 02:16:44,3,2422,-81,,,WIFI
e6:cb:bc:91:e4:ad,smll,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2026-01-21 02:16:44,1,2412,-82,,,WIFI
e2:55:b8:53:b4:4e,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:44,44,5220,-78,,,WIFI
e0:46:ee:19:c8:7e,NETGEAR58,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS][MFPC],2026-01-21 02:16:44,7,2442,-77,,,WIFI
ee:cb:bc:91:e4:ad,sip,[WPA2-EAP/SHA1-CCMP+TKIP][RSN-EAP/SHA1-CCMP+TKIP][WPA-EAP/SHA1-CCMP+TKIP][ESS],2026-01-21 02:16:44,1,2412,-82,,,WIFI
e2:55:b8:24:30:04,smll,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2026-01-21 02:16:44,52,5260,-81,,,WIFI
e0:46:ee:9f:87:65,FGDMZ1(new),[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:44,149,5745,-82,,,WIFI
fe:0c:ac:9d:61:98,,Uncategorized;10,2026-01-21 02:16:44,,7936,-88,,,BLE
70:8c:7c:99:1b:b8,,Uncategorized;10,2026-01-21 02:16:45,,7936,-88,,,BLE
e4:55:a8:53:b4:4e,,Uncategorized;10,2026-01-21 02:16:45,,7936,-85,,76,BLE
48:bb:c9:1b:39:67,,Misc,2026-01-21 02:16:45,,7936,-92,,76,BLE
d6:74:78:da:84:26,FOS,Misc,2026-01-21 02:16:45,,7936,-92,,,BLE
70:8c:7c:99:1b:b8,,Uncategorized;10,2026-01-21 02:16:45,,7936,-88,,76,BLE
76:f6:f5:24:18:5f,,Misc,2026-01-21 02:16:45,,,-89,,76,BLE
ca:61:cf:0d:fe:46,AndroidShare_5343,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],2026-01-21 02:16:47,36,5180,-81,,,WIFI
ee:cb:bc:91:ec:88,sip,[WPA2-EAP/SHA1-CCMP+TKIP][RSN-EAP/SHA1-CCMP+TKIP][WPA-EAP/SHA1-CCMP+TKIP][ESS],2026-01-21 02:16:47,11,2462,-88,,,WIFI
26:bc:9f:01:f9:d3,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:47,11,2462,-82,,,WIFI
e6:cb:ac:91:e4:ad,smll,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2026-01-21 02:16:47,36,5180,-83,,,WIFI
c6:55:b8:82:23:06,OAPOS,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2026-01-21 02:16:47,40,5200,-94,,,WIFI
da:55:b8:82:23:06,,[WPA2-PSK+PSK-SHA256-None+CCMP][RSN-PSK+PSK-SHA256-None+CCMP][ESS],2026-01-21 02:16:47,40,5200,-93,,,WIFI
70:f2:20:be:17:37,Q3TMM,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][ESS],2026-01-21 02:16:47,6,2437,-84,,,WIFI
e2:55:a8:82:23:06,OAPOSNIOT,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:47,11,2462,-81,,,WIFI
48:9b:d5:d4:0c:10,OPS_WIFI,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2026-01-21 02:16:47,6,2437,-72,,,WIFI
ea:cb:ac:91:e4:ad,notes,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:47,36,5180,-83,,,WIFI
ee:cb:ac:91:e4:ad,sip,[WPA2-EAP/SHA1-CCMP+TKIP][RSN-EAP/SHA1-CCMP+TKIP][WPA-EAP/SHA1-CCMP+TKIP][ESS],2026-01-21 02:16:47,36,5180,-83,,,WIFI
ea:cb:bc:91:ec:88,notes,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:47,11,2462,-87,,,WIFI
e2:cb:ac:91:e4:ad,Starbucks WiFi,[ESS],2026-01-21 02:16:47,36,5180,-83,,,WIFI
bc:a5:11:d9:46:1c,NETGEAR40,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2026-01-21 02:16:47,3,2422,-70,,,WIFI
ee:55:b8:24:30:04,notes,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:47,52,5260,-76,,,WIFI
9e:18:88:c1:65:c7,CellularSales,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:47,11,2462,-86,,,WIFI
e6:cb:bc:91:ec:88,smll,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2026-01-21 02:16:47,11,2462,-88,,,WIFI
00:54:af:cb:96:be,Hotspot96BE,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],2026-01-21 02:16:47,4,2427,-67,,,WIFI
98:18:88:c1:65:c7,CSOKI-Home,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:47,11,2462,-86,,,WIFI
ea:55:b8:24:30:04,sip,[WPA2-EAP/SHA1-CCMP+TKIP][RSN-EAP/SHA1-CCMP+TKIP][WPA-EAP/SHA1-CCMP+TKIP][ESS],2026-01-21 02:16:47,52,5260,-76,,,WIFI
e6:55:b8:24:30:04,Starbucks WiFi,[ESS],2026-01-21 02:16:47,52,5260,-76,,,WIFI
e2:55:b8:24:30:04,smll,[WPA2-EAP/SHA1-CCMP][RSN-EAP/SHA1-CCMP][ESS],2026-01-21 02:16:47,52,5260,-76,,,WIFI
69:90:bc:ff:b3:92,,Misc,2026-01-21 02:16:50,,,-85,,76,BLE
c2:4a:58:42:9c:56,FOS,Misc,2026-01-21 02:16:50,,,-82,,,BLE
60:95:32:33:88:ed,DFJ244303705,Misc,2026-01-21 02:16:50,,7936,-90,,,BLE
06:f1:9e:4d:87:f5,,Misc,2026-01-21 02:16:50,,,-87,,6,BLE
ca:8c:99:ab:c1:1f,,Misc,2026-01-21 02:16:50,,,-90,,76,BLE
48:bb:c9:1b:39:67,,Misc,2026-01-21 02:16:51,,7936,-87,,76,BLE
7d:77:54:4a:2d:f2,,Uncategorized;10,2026-01-21 02:16:52,,7936,-94,,,BLE
4a:d3:b9:cb:fa:58,,Uncategorized;10,2026-01-21 02:16:52,,7936,-85,,,BLE
6d:b3:70:c6:d6:48,,Uncategorized;10,2026-01-21 02:16:52,,7936,-79,,,BLE
7f:f4:0f:ee:33:83,,Uncategorized;10,2026-01-21 02:16:53,,7936,-66,,,BLE
49:7c:6d:02:56:6b,,Misc,2026-01-21 02:16:53,,,-92,,76,BLE
fe:0c:ac:9d:61:98,,Uncategorized;10,2026-01-21 02:16:53,,7936,-87,,76,BLE
50:61:79:b0:4b:8f,,Misc,2026-01-21 02:16:53,,,-89,,,BLE
42:17:b7:d2:13:a9,,Misc,2026-01-21 02:16:53,,,-88,,76,BLE
7d:77:54:4a:2d:f2,,Uncategorized;10,2026-01-21 02:16:53,,7936,-94,,76,BLE
6d:b3:70:c6:d6:48,,Uncategorized;10,2026-01-21 02:16:53,,7936,-79,,76,BLE
7f:f4:0f:ee:33:83,,Uncategorized;10,2026-01-21 02:16:53,,7936,-66,,76,BLE
4a:d3:b9:cb:fa:58,,Uncategorized;10,2026-01-21 02:16:53,,7936,-85,,76,BLE
d6:74:78:da:84:26,FOS,Misc,2026-01-21 02:16:53,,7936,-87,,,BLE
78:68:88:e5:8c:18,,Uncategorized;10,2026-01-21 02:16:55,,7936,-91,,,BLE
70:8c:7c:99:1b:b8,,Uncategorized;10,2026-01-21 02:16:55,,7936,-78,,76,BLE
6d:b3:70:c6:d6:48,,Uncategorized;10,2026-01-21 02:16:55,,7936,-72,,76,BLE
3f:ec:e6:ca:7e:54,,Misc,2026-01-21 02:16:55,,,-89,,6,BLE
4a:d3:b9:cb:fa:58,,Uncategorized;10,2026-01-21 02:16:55,,7936,-79,,76,BLE
da:6e:7c:62:fc:47,,Misc,2026-01-21 02:16:55,,,-87,,76,BLE
78:68:88:e5:8c:18,,Uncategorized;10,2026-01-21 02:16:55,,7936,-91,,76,BLE
ca:61:cf:0d:fe:46,AndroidShare_5343,[WPA2-PSK-CCMP][RSN-PSK+SAE-CCMP][ESS][MFPC],2026-01-21 02:16:55,36,5180,-71,,,WIFI
e0:46:ee:9f:87:48,PARPOS,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:55,1,2412,-75,,,WIFI
04:bc:9f:01:f9:d3,Antietam-Sweetfrog,[WPA2-PSK-CCMP][RSN-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS],2026-01-21 02:16:55,11,2462,-82,,,WIFI
e4:6c:d1:fa:a8:7a,Kpot Main,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2026-01-21 02:16:55,11,2462,-87,,,WIFI
e0:cb:bc:91:e4:ad,Starbucks WiFi,[ESS],2026-01-21 02:16:55,1,2412,-73,,,WIFI
e2:55:a8:53:b4:4e,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:55,1,2412,-67,,,WIFI
ee:55:a8:53:b4:4e,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:55,1,2412,-66,,,WIFI
8a:15:04:3d:c1:43,SC-GUEST,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:55,10,2457,-86,,,WIFI
8a:15:04:3d:c1:42,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2026-01-21 02:16:55,10,2457,-87,,,WIFI
